publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-25T00:50:22Z,@muhrois680,Pak ustadz nya mati mulu njirr kalah ama setan 😭😭😭,1
2024-11-23T06:52:38Z,@KharismaNurAzzahra-t6o,Gilaa ini kerennn bangetttt dlu udh pernah nontonnn,0
2024-11-18T04:55:48Z,@caturwijinarko9892,"<a href=""https://www.youtube.com/watch?v=8LIHcd7WfWI&amp;t=73"">1:13</a>",0
2024-11-15T18:17:33Z,@wistinazz,TAKODT,0
2024-11-15T18:13:27Z,@wistinazz,takost,0
2024-11-07T02:28:23Z,@FatimahIthnin,"Joko anwar adalah sebuah jaminan kualitas tinggi. Untuk mendukung pernyataan ini,mari kita menonton film ini beramai-ramai aku yakin penonton 4,2 juta di ...",0
2024-11-04T04:50:34Z,@novitasuhrurumm5063,"Gue masih ga rela karakter bapak si bikin meninggal, bapak gitu2 sayang sama anak2.. gus nangis banget ih KENAPA SIH!!😭😭",0
2024-11-03T00:36:34Z,@GaganGege,Kenapa sih bapak harus mati<br>Padahal kan bapak ayah yang baik😢,0
2024-11-02T04:15:43Z,@billfakm2901,Ci vilmei,0
2024-10-06T10:21:16Z,@anon2962,Mengumpulkan niat bertahun2 utk menonton film indonesia dan  trnyata ok lah bagus mix insidious hereditary dn film stephen king.. Pengmbiln gmbr pnchayaan bagus karakter dn kostum jg oke kyk stranger things sy suka set ny jadul2 gini cuma kurang aksi kejar2an yang menggelitik perut wkwk hantunya ga jls kelihatan jd ga deg2an gmb gitu scr cerita sdh rumit dn dalam<br>Untuk kematian sadis2nya mending ditambah lg krn mnurutku film2 spt hereditary atau stephen king menang di disturbing scene nya<br>Kalo seram sih kagak seram.. Cuma agak disturbing gt tp msh kurang jg disturbing nya :/<br><br>Di PS3 nanti harus lebih byk menceritakan si B dan D dari dunia dan kelompok mana gak trllu greget kalo mereka hanya iblis biasa dan wisnu dn prbyk disturbing scene dibandingkan jumpscare...tdk usah masalah bapak dan ibu yg pengen punya anak mkny pk pesugihan,0
2024-10-10T04:04:06Z,@akashiwana7083,Rekomendasi film horor luar dong bangg,0
2024-09-15T14:03:55Z,@ndmeyla05,bagusss bgt,0
2024-09-02T04:04:05Z,@NhjHhh-y2v,B aja,0
2024-08-12T09:53:08Z,@ewa02,udah 2 tahun aja oii,0
2024-07-22T06:37:58Z,@JgvYupiter,Hdg,0
2024-07-06T19:57:01Z,@harshaofficial007,"If you&#39;re looking for an English comment, here it is",1
2024-07-09T18:28:06Z,@Aashy_Z,I&#39;m looking for review,0
2024-06-14T21:11:29Z,@mathieumauger1968,"Un film du déjà vu, tu met une robe blanche sur une dépressive, et ta ton film d&#39;horreur.",1
2024-06-14T02:12:17Z,@Ando81233,Di tunggu s3 nyaa?,0
2024-06-13T05:29:49Z,@zidaneofflcial1778,🥶🔥✨omg,0
2024-06-02T07:15:43Z,@fianadina8902,Xmxmmxk<br>X<br>X,0
2024-05-31T02:39:54Z,@crisbandiola,I kove this movie,0
2024-05-25T14:45:46Z,@exoticemea.,On which website its available?,0
2024-05-25T03:34:33Z,@nadhifaayulestari4826,Ayo kapan nih pengabdi setan 3 dibikin???kita lgi nunggu rilisnya loh....,0
2024-05-24T01:38:35Z,@titinyuliana3841,"Yg gw Gak suka film2 indonesia,dialognya berasa banget baca teks",0
2024-05-18T12:09:47Z,@rarab1tch02,BRING BACK TARI,2
2024-11-26T23:38:44Z,@uahahahahHdeheheh,YES SHE SO ATTRACTIVE OMG,0
2024-05-10T18:00:11Z,@restafauziah9808,Seru gilaa,0
2024-05-04T09:17:21Z,@BintangBulanMentari,FILM YG MELECEHKAN AGAMA!! SEMOGA ADA YG LAPORIN KE BARESKRIM POLRI,0
2024-10-02T04:16:05Z,@alparizialparez-kq2hn,"Buset santai pak ini cuman film, bapak2 aneh😅",0
2024-05-04T06:45:16Z,@daymelonn,kerenn bgt nih film takut nontonnya tapi akhirnya nonton jugaa,1
2024-05-02T09:32:01Z,@windigeulis3599,gila bagus banget filmnya i love karyanya bang joko anwar,0
2024-04-24T06:40:31Z,@hanahae3510,Kalo ada pengabdi setan 3 mau nonton lagi❤,1
2024-04-16T14:26:39Z,@ganiilhan,Film udah 2 tahun lalu tapi cari yg full sulit amat ..banyak reaction doank...,0
2024-04-17T03:28:33Z,@earthquakevideoworld1899,"Wkwk masih belum nonton juga, gw udah ratusan kali nonton di bioskop dan punya video fullnya di galeri😅",0
2024-04-17T10:39:52Z,@ganiilhan,@@earthquakevideoworld1899 bagi link donk bro..,0
2024-04-22T04:32:44Z,@siswondo0724,Di pahe,0
2024-05-20T07:30:02Z,@ewa02,yang Full di Disney . berlangganan dong jgn mau yg gratis aja 😂,0
2024-10-06T10:23:39Z,@anon2962,Di dailymotion aja nntony,0
2024-04-15T05:24:17Z,@Zombie-x2m,Ihh takut nya🗿🗿,1
2024-04-10T18:02:23Z,@Rahhh._,Intro pas semua mayat di sujudin asli serem banget cok,1
2024-03-29T11:47:41Z,@Bang_Messi_Goat,"Overrated, yang pertama aja nggak seram",1
2024-03-28T15:27:40Z,@AnggaDhanyP.M.,"Sumpah film ini dari awal kita ga dikasih nafas, tegang terus<br>Keluar dr bioskop, apalagi yg IMAX, beuhh lemes, energi udh terkuras habis pas nonton, mantap deh filmnya",0
